event_id,ticker,source_type,family,semantic_class,transition_date,transition_source,reason,source_dates
8abd467f868678e08a314267bd8f5856b899d5ba53fca7796911123ea611951c,EDGE,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-09-04
0a53982625922b529ae12bbdfe64c15025a8b6a30001799ba82b1f5e3031925c,ELPI,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-07,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2026-07-06|2026-07-08|2026-07-09
ee2076da2e4914794bedd1347aa7579602142b1af5f8762cef938239826f16ce,FILM,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-07-07,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-07-04|2025-07-08|2025-07-09
6672a6bfd66f2434e30b21c5387e4f765b5e67c45a57fc43ad20d5bd234c3ba1,FITT,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-25,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-06-24|2024-06-26|2024-06-27
917e1b0620a6c5bcc514411e399b9e4f6f8e0b6c5e98bf58e9f6b113e6cb7136,FORU,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-06-11
4eb092fd4f61fc0f9e5b60e552fe274ad1a970d76d022869565ddfb37b1ac51a,FUTR,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-04-08
ff8d30116fc7f504401c776d80a7590336b3eff37d659fd388a5f2165f60c5aa,GMFI,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-12-23,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-12-20|2024-12-24|2024-12-27
4b5d9f62f01085e211e554d6356ce642d5c946463d5dbd23da3c608ccb274694,GMFI,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-12-23|2025-12-24
95efbe420f4bbc25d60073bae39136d9ee0dde60679c883267ed353c38d93c76,HATM,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-06-05|2025-06-11|2025-06-12
6cd48adec365f5fdf35308956e0ac25c5e344f2062e5e06243e468e23311fa00,HILL,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-03-13|2025-03-17|2025-03-18
b0c053edd25c840e5cc4df707ebac88b96853fa0f88f1ad739942aaddc6afdf5,IATA,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-03-03,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-02-28|2025-03-04|2025-03-05
6932b3fba9803f124c0ad0c016b126beccd84aaddfb99807f1aaf1074bfc6ddb,IMJS,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-12-10|2025-12-11
8dad6ce6b5468f676e6f66bd700dfa312413783b3202a017502973e296b23e54,INCO,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-19,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-06-14|2024-06-20|2024-06-21
bfce385f0295b8ac7fbad1417586586e6f4959f1ba24a50ffe3e997505180c50,INDS,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-07-03|2024-07-05|2024-07-08
0d4574c52b80b7160a9ff56ce2f70316c5326204d5d033df50407ebae95f1dc6,INET,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-01-06|2026-01-07
1285d019c8831fae39ad2909e699680df9071d5ebc38701a71a5a5dba951c60d,ISAT,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-10-11|2024-10-15|2024-10-16
5b89c8ec9b4064863b678ae83199ed2803c51efaa2c86b4109abe900f3dd8610,KEJU,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-12-30,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-12-27|2025-01-02|2025-01-17
5fc1b2277927ea7fc2ef0cf63be2725ec04351dcffbbaf4f6749b6ed9f784ee0,KETR,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-04-05
34c8264188fecd0f6d2c59fa38320dde1c64d21a38dcce7a03f4c3440366febd,KKGI,Stock Dividend,STOCK_DIVIDEND,EXACT_TRANSITION,2023-12-18,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2023-12-15|2023-12-19|2024-01-10
474512eee014cece469973a6ce29fa2e90a53557be3d0ae807e7bd36722d1960,KKGI,Mixed Dividend,MIXED_STOCK_DIVIDEND,EXACT_TRANSITION,2025-01-02,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,MIXED_STOCK_COMPONENT_REGULAR_MARKET_EX_BOUNDARY,2024-12-30|2025-01-03|2025-01-17
f940e3f95f02515876fda8083c9605c2bd87e407cf646afc19d57c7c4bad18ee,KLAS,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-11-11,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-11-08|2024-11-12|2024-11-29
d1ce0510454427a9a7ccb45de0c8400e4fe277d04cb004b14da3d4fc5a9baaed,KLAS,Stock Dividend,STOCK_DIVIDEND,EXACT_TRANSITION,2024-11-11,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-11-08|2024-11-12|2024-11-29
ba11a7edaafb6307ffa3966fb3e32ae3d1f0a86dcbdc4a24adbb5ac40479ac41,LPCK,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-04-16,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-04-15|2025-04-17|2025-04-21
e6438d9eca5600de372b5eec8062510740201d15749f6ad5a7f09951724003c4,LUCY,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-01-10,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-01-09|2024-01-11|2024-01-12
ebf72b08c4c4d815e12aa6f4c4e37d304ea2fb0f9c40718bcba980bbf4f245f2,MAYA,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-01-10,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-01-09|2024-01-11|2024-01-12
8e0c37b92e68aa480e69f7e717a6e69b79c26e5137d3850b7e58b2b097ef0594,MEJA,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-04-20|2026-05-08
238f1fc7600a9f4475aa3e5e6710862f48977e008f4692619062f31a04cab1bc,MEJA,Stock Dividend,STOCK_DIVIDEND,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-04-20|2026-05-08
f7b23c72d87cf482f301a5c97eff6d880df6d2ad64a546ad34a0440214bb03d0,MFIN,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-04-29,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-04-28|2025-04-30|2025-05-22
d359658134eb9558388844a6eb0229554014b6f26ee0f9ee10194687945bc7c8,MFIN,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-09-30|2025-10-01
8767a0ee93fbeea8f2a0dbeaae6175179709cb0c6b861aca474eadd1058776ef,MINA,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-07-08|2025-07-10|2025-07-11
80901104db453da0a667552075933b68d41dec45e0a32c3292357ef913f34878,MLPT,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-07-20|2026-07-22|2026-07-23
fdf0617a33586783f96e15d46452afff5ee216f84716ab6232ba1e2ef80df1ec,MMIX,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-10-27|2025-11-10
b89d89faf5b41a4e25c9b884642060c9b9a693ebafb7adc36daf683572750dfe,MPPA,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-06-29|2026-06-30
0c37b0c084e7bb166b6af25306f9b18186cdd1f24e89bfad69c044f7b56dece7,MSIN,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-10-04|2024-10-08|2024-10-09
f93d1060609048cf1b9fd63a9c85b29bbd0ab6b5873185a33fcc45aa1ff532ff,NETV,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-10-21|2024-10-23|2024-10-24
d92748ec738027eb23c560fd5c7c0ab2773da4018d4d84209f5a9ba6aa451e1f,NETV,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-11-05
10e24d3621e0f5e65833655b2e11938fc53d64e68c03e6c87658eb74bb2ae26b,NISP,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-09-06
b92e80322a60a5d6c7cb138f3edb650e17fe5ce3e59fcd2c3f6801dce55fb8df,PACK,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-01-13|2026-01-14
2aa83f9f14b4cc15d8f2bec7f4b43b4709e50f1c820bb2e7fb66efba74b5e560,PADI,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2026-07-08|2026-07-10|2026-07-13
