ticker,continuity_status,reason,risk_rows,ksei_coverage_certified,prior_official_candidate_in_period,ksei_history_rows
CITA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,52
CITY,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,9
CLAY,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,14
CLEO,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,1,True,False,25
CMNP,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,58
CMNT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,7
CMRY,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,12
CNKO,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION,1,True,False,55
CNMA,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:UNKNOWN,2,True,False,11
COAL,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,5
COCO,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,2,True,False,21
COIN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,2
CPIN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,58
CPRO,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,34
CRAB,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,7
CSIS,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,1,True,False,18
CSMI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,10
CSRA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,14
CTRA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,58
CTTH,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,29
CUAN,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION,1,True,False,8
CYBR,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION,1,True,False,7
DAAZ,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
DADA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,10
DATA,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION,1,True,False,5
DCII,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,8
DEFI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,39
DEWA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,37
DEWI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
DFAM,PRICE_CONTINUITY_UNRESOLVED_COVERAGE,KSEI_REGISTERED_SECURITY_HISTORY_NOT_CERTIFIED,0,False,False,0
DGIK,PRICE_CONTINUITY_UNRESOLVED_COVERAGE,KSEI_REGISTERED_SECURITY_HISTORY_NOT_CERTIFIED,0,False,False,0
DGNS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,18
DGWG,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,5
DILD,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,36
DIVA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,10
DKFT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,39
DKHH,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,2
