event_id,ticker,row_index,source_type,status,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,present_in_parent_audit,present_in_remediation_audit,removed_from_relevant_audit,parent_family,parent_semantic_class,parent_transition_date,remediation_family,remediation_semantic_class,remediation_transition_date,remediation_reason
7adbd2c9b652bc833379d5391bd1b74de691916516145edcb673b0233519b807,BEEF,6,Right Distribution,Active,(500 BEEF : 11 BEEF ),PARSED_SOURCE_TEXT_ONLY,BEEF,BEEF,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-09-26,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-09-26,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
7af147584dbb35963198a35ca2d0904a7c3aac8da6c574161a5b133f214e407e,BEEF,12,Voluntary Conversion,Active,(1 BEEF : 123 IDR),PARSED_SOURCE_TEXT_ONLY,BEEF,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
eff14a1e04321e714b20fe3787737de7c4ef765990d0d1c56c7b6113e25e6970,BNBR,1,Right Distribution,Active,(27 BNBR : 14 BNBR-R ),PARSED_SOURCE_TEXT_ONLY,BNBR,BNBR-R,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
cc6808069b53474d4a1eddff5fd29f8e8c9f6bac54177cbd4dd24d7af574f4f2,BOGA,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
40562a0c5d3118a2683908f28fce6344563f8be5a39dc35aa7d27f2c0161a427,BRPT,5,Right Distribution,Active,(625 BRPT : 1 BRPT ),PARSED_SOURCE_TEXT_ONLY,BRPT,BRPT,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-27,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-27,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
abbfde50f3d9a4dfa848a9af445ccfb679b265e3fbe3013253fef8ff71def3ae,BUVA,3,Right Distribution,Active,(225 BUVA : 44 BUVA-R ),PARSED_SOURCE_TEXT_ONLY,BUVA,BUVA-R,False,True,True,False,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION
bbff81e697351c11d1a6f5eb0040b6ac63396855443e3044d5f07622adcafbd6,CLEO,5,Right Distribution,Active,(1 CLEO : 1 CLEO ),PARSED_SOURCE_TEXT_ONLY,CLEO,CLEO,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
1abcbf7d5754858a194bf1fad31bc27e933d52c5ed555a3fb91c1501cdfbbc60,CNKO,4,Voluntary Conversion,Active,(1 CNKO : 8 IDR),PARSED_SOURCE_TEXT_ONLY,CNKO,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
3ac75071cfbca806f0e133579111cfefcfe30c4d76a86fb8c334d74a550ec196,CNMA,2,Mixed Dividend,Active,(50 CNMA : 1 CNMA ),PARSED_SOURCE_TEXT_ONLY,CNMA,CNMA,False,True,True,False,MIXED_STOCK_DIVIDEND,SCHEDULE_REQUIRED,,MIXED_STOCK_DIVIDEND,SCHEDULE_REQUIRED,,MIXED_STOCK_OR_UNKNOWN_COMPONENT_NEEDS_EXACT_SCHEDULE
f7e32bbc629ea7c8f857a61c57e4672656132084c6d8d3c3373b6e9ac9e7227f,COCO,1,Right Distribution,Active,(1 COCO : 3 COCO-R ),PARSED_SOURCE_TEXT_ONLY,COCO,COCO-R,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
